source_model,prompt_id,task,search_steps,semantic_score,lexical_overlap,embedding_similarity,entailment_score,contradiction_score,contradiction_flag,semantic_backend,edit_ratio,base_text,base_score,best_score,score_gain,applied_operations,best_text
OpenAssistant/reward-model-deberta-v3-base,p01,Explain why overfitting hurts out-of-sample performance.,4,0.9975,1.0,1.0,0.9917,0.0021,False,hybrid+nli,0.0,Overfitting happens when a model memorizes noise in the training set instead of learning patterns that generalize. That lowers performance on unseen data because the model has adapted to accidental quirks rather than signal.,2.286664,2.286664,0.0,,Overfitting happens when a model memorizes noise in the training set instead of learning patterns that generalize. That lowers performance on unseen data because the model has adapted to accidental quirks rather than signal.
OpenAssistant/reward-model-deberta-v3-base,p02,Explain why price floors can create surpluses.,4,0.9988,1.0,1.0,0.9961,0.001,False,hybrid+nli,0.0,"A price floor set above equilibrium keeps prices artificially high. Suppliers want to sell more at that price, while buyers demand less, so excess supply appears.",2.017808,2.017808,0.0,,"A price floor set above equilibrium keeps prices artificially high. Suppliers want to sell more at that price, while buyers demand less, so excess supply appears."
OpenAssistant/reward-model-deberta-v3-base,p03,Why does binary search require sorted input?,4,0.9957,1.0,1.0,0.9858,0.0026,False,hybrid+nli,0.0,Binary search discards half the search space by comparing the middle element to the target. That step is only valid when the order of elements lets the algorithm infer which half cannot contain the target.,-0.043608,-0.043608,0.0,,Binary search discards half the search space by comparing the middle element to the target. That step is only valid when the order of elements lets the algorithm infer which half cannot contain the target.
OpenAssistant/reward-model-deberta-v3-base,p04,Explain why the derivative of a constant is zero.,4,0.9981,1.0,1.0,0.9937,0.0012,False,hybrid+nli,0.0,"A constant function does not change as the input changes. Since the derivative measures instantaneous rate of change, that rate is zero everywhere.",0.306871,0.306871,0.0,,"A constant function does not change as the input changes. Since the derivative measures instantaneous rate of change, that rate is zero everywhere."
OpenAssistant/reward-model-deberta-v3-base,p05,Why can dividing by zero break algebraic manipulation?,0,0.9962,1.0,1.0,0.9873,0.0025,False,hybrid+nli,0.0,"Division assumes there is a number that reverses multiplication. Zero has no multiplicative inverse, so dividing by zero creates invalid transformations and contradictions.",-0.053111,-0.053111,0.0,,"Division assumes there is a number that reverses multiplication. Zero has no multiplicative inverse, so dividing by zero creates invalid transformations and contradictions."
OpenAssistant/reward-model-electra-large-discriminator,p01,Explain why overfitting hurts out-of-sample performance.,4,0.9975,1.0,1.0,0.9917,0.0021,False,hybrid+nli,0.0,Overfitting happens when a model memorizes noise in the training set instead of learning patterns that generalize. That lowers performance on unseen data because the model has adapted to accidental quirks rather than signal.,4.07593,4.07593,0.0,,Overfitting happens when a model memorizes noise in the training set instead of learning patterns that generalize. That lowers performance on unseen data because the model has adapted to accidental quirks rather than signal.
OpenAssistant/reward-model-electra-large-discriminator,p02,Explain why price floors can create surpluses.,4,0.9988,1.0,1.0,0.9961,0.001,False,hybrid+nli,0.0,"A price floor set above equilibrium keeps prices artificially high. Suppliers want to sell more at that price, while buyers demand less, so excess supply appears.",3.011894,3.011894,0.0,,"A price floor set above equilibrium keeps prices artificially high. Suppliers want to sell more at that price, while buyers demand less, so excess supply appears."
OpenAssistant/reward-model-electra-large-discriminator,p03,Why does binary search require sorted input?,4,0.9957,1.0,1.0,0.9858,0.0026,False,hybrid+nli,0.0,Binary search discards half the search space by comparing the middle element to the target. That step is only valid when the order of elements lets the algorithm infer which half cannot contain the target.,0.829421,0.829421,0.0,,Binary search discards half the search space by comparing the middle element to the target. That step is only valid when the order of elements lets the algorithm infer which half cannot contain the target.
OpenAssistant/reward-model-electra-large-discriminator,p04,Explain why the derivative of a constant is zero.,4,0.9981,1.0,1.0,0.9937,0.0012,False,hybrid+nli,0.0,"A constant function does not change as the input changes. Since the derivative measures instantaneous rate of change, that rate is zero everywhere.",0.820037,0.820037,0.0,,"A constant function does not change as the input changes. Since the derivative measures instantaneous rate of change, that rate is zero everywhere."
OpenAssistant/reward-model-electra-large-discriminator,p05,Why can dividing by zero break algebraic manipulation?,0,0.9962,1.0,1.0,0.9873,0.0025,False,hybrid+nli,0.0,"Division assumes there is a number that reverses multiplication. Zero has no multiplicative inverse, so dividing by zero creates invalid transformations and contradictions.",0.309552,0.309552,0.0,,"Division assumes there is a number that reverses multiplication. Zero has no multiplicative inverse, so dividing by zero creates invalid transformations and contradictions."
