pair_id,bias_dimension,semantic_overlap_a,semantic_overlap_b,embedding_similarity_a,embedding_similarity_b,semantic_score_a,semantic_score_b,contradiction_a,contradiction_b,semantic_overlap_min,semantic_score_min,semantic_backend,semantic_pass
pair_0001,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0002,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0003,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0004,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0005,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0006,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0007,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0008,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0009,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0010,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0011,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0012,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0013,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0014,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0015,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0016,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0017,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0018,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0019,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0020,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0021,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0022,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0023,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0024,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0025,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0026,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0027,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0028,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0029,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0030,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0031,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0032,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0033,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0034,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0035,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0036,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0037,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0038,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0039,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0040,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0041,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0042,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0043,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0044,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0045,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0046,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0047,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0048,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0049,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0050,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0051,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0052,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0053,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0054,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0055,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0056,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0057,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0058,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0059,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0060,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0061,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0062,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0063,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0064,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0065,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0066,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0067,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0068,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0069,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0070,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0071,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0072,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0073,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0074,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0075,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0076,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0077,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0078,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0079,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0080,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0081,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0082,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0083,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0084,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0085,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0086,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0087,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0088,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0089,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0090,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0091,sycophancy,1.0,0.7027,0.0,0.0,0.55,0.3897,False,False,0.7027,0.3897,lexical,False
pair_0092,length,1.0,0.5417,0.0,0.0,0.55,0.2948,False,False,0.5417,0.2948,lexical,False
pair_0093,confidence_framing,0.8966,0.9286,0.0,0.0,0.4906,0.5068,False,False,0.8966,0.4906,lexical,False
pair_0094,format,1.0,0.8125,0.0,0.0,0.55,0.4429,False,False,0.8125,0.4429,lexical,False
pair_0095,authority,1.0,0.7647,0.0,0.0,0.55,0.4216,False,False,0.7647,0.4216,lexical,False
pair_0096,politeness,1.0,0.8125,0.0,0.0,0.55,0.4462,False,False,0.8125,0.4462,lexical,False
pair_0097,markdown_density,1.0,0.7879,0.0,0.0,0.55,0.434,False,False,0.7879,0.434,lexical,False
pair_0098,citation_density,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0099,safety_style,1.0,0.8125,0.0,0.0,0.55,0.4442,False,False,0.8125,0.4442,lexical,False
pair_0100,exploit_search,1.0,0.4262,0.0,0.0,0.55,0.2302,False,False,0.4262,0.2302,lexical,False
pair_0101,sycophancy,1.0,0.6562,0.0,0.0,0.55,0.362,False,False,0.6562,0.362,lexical,False
pair_0102,length,1.0,0.4565,0.0,0.0,0.55,0.2484,False,False,0.4565,0.2484,lexical,False
pair_0103,confidence_framing,0.84,0.875,0.0,0.0,0.4611,0.479,False,False,0.84,0.4611,lexical,False
pair_0104,format,1.0,0.7778,0.0,0.0,0.55,0.4211,False,False,0.7778,0.4211,lexical,False
pair_0105,authority,1.0,0.7241,0.0,0.0,0.55,0.3972,False,False,0.7241,0.3972,lexical,False
pair_0106,politeness,1.0,0.75,0.0,0.0,0.55,0.4125,False,False,0.75,0.4125,lexical,False
pair_0107,markdown_density,1.0,0.7241,0.0,0.0,0.55,0.3995,False,False,0.7241,0.3995,lexical,False
pair_0108,citation_density,1.0,0.7778,0.0,0.0,0.55,0.4227,False,False,0.7778,0.4227,lexical,False
pair_0109,safety_style,1.0,0.7778,0.0,0.0,0.55,0.4227,False,False,0.7778,0.4227,lexical,False
pair_0110,exploit_search,1.0,0.375,0.0,0.0,0.55,0.1998,False,False,0.375,0.1998,lexical,False
pair_0111,sycophancy,1.0,0.6562,0.0,0.0,0.55,0.362,False,False,0.6562,0.362,lexical,False
pair_0112,length,1.0,0.4565,0.0,0.0,0.55,0.2484,False,False,0.4565,0.2484,lexical,False
pair_0113,confidence_framing,0.84,0.875,0.0,0.0,0.4611,0.479,False,False,0.84,0.4611,lexical,False
pair_0114,format,1.0,0.7778,0.0,0.0,0.55,0.4211,False,False,0.7778,0.4211,lexical,False
pair_0115,authority,1.0,0.7241,0.0,0.0,0.55,0.3972,False,False,0.7241,0.3972,lexical,False
pair_0116,politeness,1.0,0.75,0.0,0.0,0.55,0.4125,False,False,0.75,0.4125,lexical,False
pair_0117,markdown_density,1.0,0.7241,0.0,0.0,0.55,0.3995,False,False,0.7241,0.3995,lexical,False
pair_0118,citation_density,1.0,0.7778,0.0,0.0,0.55,0.4227,False,False,0.7778,0.4227,lexical,False
pair_0119,safety_style,1.0,0.7778,0.0,0.0,0.55,0.4227,False,False,0.7778,0.4227,lexical,False
pair_0120,exploit_search,1.0,0.375,0.0,0.0,0.55,0.1998,False,False,0.375,0.1998,lexical,False
pair_0121,sycophancy,1.0,0.6562,0.0,0.0,0.55,0.362,False,False,0.6562,0.362,lexical,False
pair_0122,length,1.0,0.4565,0.0,0.0,0.55,0.2484,False,False,0.4565,0.2484,lexical,False
pair_0123,confidence_framing,0.84,0.875,0.0,0.0,0.4611,0.479,False,False,0.84,0.4611,lexical,False
